날짜,생일자,공식 생일 축전,생일 스토리,생일 축하 대사
2026-01-07,하자와 츠구미,5861469,5861536,5861553
2026-01-13,와카나 레이,5883963,5884230,5884195
2026-01-14,와카바 무츠미,5888341,5890848,5888535
2026-02-07,미네츠키 리츠,5947131,,
2026-02-14,토가와 사키코,5962619,5965585,
2026-02-19,쿠라타 마시로,5977510,5977612,5977613
2026-02-22,카나메 라나,5984111,5984524,5984252
2026-02-28,세타 카오루,5998958,5998937,6000595
2026-03-05,시노미야 시즈쿠,,,
2026-03-12,시오미 호타루,,,
2026-03-20,히카와 사요,6062412,6062699,6062538
2026-03-20,히카와 히나,6062412,6062699,6062534
2026-03-23,우시고메 리미,6067973,6068002,6068022
2026-03-25,뉴바라 레오나,6072207,6072322,6072273
2026-03-30,이자와 나츠메,,,
2026-04-02,우메자토 치에리,,,
2026-04-06,시라사기 치사토,6097626,6084859,6097742
2026-04-07,야하타 우미리,6100159,6100199,6100187
2026-04-10,미타케 란,6106245,6106320,6106322
2026-04-15,우다가와 토모에,6115705,6115778,6115853
2026-04-17,미야나가 노노카,6119477,,
2026-05-06,야쿠라 요모기,,,
2026-05-11,마츠바라 카논,6166925,6167016,6167037
2026-05-12,사토 마스키,6168762,6168908,6168811
2026-05-19,야마부키 사아야,6181553,6183321,6182372
2026-05-27,나가사키 소요,6198563,6198704,6198616
2026-06-01,유텐지 냐무,6208666,6208663,
2026-06-16,히로마치 나나미,6243221,6243419,6243303
2026-06-26,미스미 우이카,6269324,6269361,
2026-06-27,와카미야 이브,6275115,6275619,6275279
2026-07-03,우다가와 아코,,,
2026-07-14,토야마 카스미,,,
2026-07-16,하마사키 마호로,,,
2026-07-17,아사히 롯카,,,
2026-07-28,스가 라이카,,,
2026-07-30,키타자와 하구미,,,
2026-08-08,츠루마키 코코로,,,
2026-08-09,시이나 타키,,,
2026-08-16,나카마치 아라레,,,
2026-08-25,이마이 리사,,,
2026-09-03,아오바 모카,,,
2026-09-08,치하야 아논,,,
2026-09-15,후타바 츠쿠시,,,
2026-09-19,후지 미야코,,,
2026-10-01,오쿠사와 미사키,,,
2026-10-04,마하시 미쿠,,,
2026-10-17,시로카네 린코,,,
2026-10-23,우에하라 히마리,,,
2026-10-24,이즈미 호우카,,,
2026-10-26,미나토 유키나,,,
2026-10-27,이치가야 아리사,,,
2026-11-03,야마토 마야,,,
2026-11-04,센고쿠 유노,,,
2026-11-19,야시오 루이,,,
2026-11-22,타카마츠 토모리,,,
2026-12-04,하나조노 타에,,,
2026-12-07,타마데 치유,,,
2026-12-10,코토히라 나기,,,
2026-12-16,키리가야 토우코,,,
2026-12-27,마루야마 아야,,,